state,community_url,house_url,card_id
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/950765/3605-cypress-pointe-drive/bellbrook/oh/charles,6838
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/949308/45-ed-knoll-bend/springboro/oh/charles,6725
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/948379/3604-cypress-pointe-drive/bellbrook/oh/calvin,6683
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/949307/86-ed-knoll-bend/springboro/oh/winston,6726
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/936754/2544-golden-leaf-drive/beavercreek/oh/grandin,6307
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/955139/2004-silver-linden-drive/tipp-city/oh/avery,7144
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/952553/407-s-landon-lane/springfield/oh/emmett,6954
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/950756/90-libby-hollow-street/springboro/oh/emmett,6839
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/936885/2587-golden-leaf-drive/beavercreek/oh/avery,6390
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/936853/2387-forest-oaks-drive/beavercreek/oh/charles,6318
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/936876/125-dan-haven-place/springboro/oh/calvin,6322
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/950741/6513-river-birch-street/tipp-city/oh/avery,6836
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/953295/819-hunters-run-drive/brookville/oh/yosemite,6973
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/934577/134-kenneth-hamilton-way/yellow-springs-vlg/oh/jensen,6185
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/942769/517-iris-drive/yellow-springs-vlg/oh/fairfax,6612
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/936812/535-iris-drive/yellow-springs-vlg/oh/fairfax,6315
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/934886/410-s-landon-lane/springfield/oh/calvin,6203
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/950761/4252-apple-branch-drive-55-201/sugarcreek-twp/oh/hayward,6983
ohio,,https://www.fischerhomes.com/find-new-homes/ready-now/947726/4228-n-apple-branch-drive-55-204/sugarcreek-twp/oh/hayward,6651
kentucky,,https://www.fischerhomes.com/find-new-homes/ready-now/639151/209-junction-way/ludlow/ky/finley,6400
kentucky,,https://www.fischerhomes.com/find-new-homes/ready-now/633293/8501-robert-grant-drive/union/ky/finley,6298
kentucky,,https://www.fischerhomes.com/find-new-homes/ready-now/638991/2438-lillywood-way/crescent-springs/ky/emmett,6807
kentucky,,https://www.fischerhomes.com/find-new-homes/ready-now/630840/4665-donegal-avenue/union/ky/blair,5942
kentucky,,https://www.fischerhomes.com/find-new-homes/ready-now/637610/3560-bullittsville-rd/burlington/ky/calvin,6608
kentucky,,https://www.fischerhomes.com/find-new-homes/ready-now/635477/272-meridian-way/fort-mitchell/ky/logan,6505
kentucky,,https://www.fischerhomes.com/find-new-homes/ready-now/631144/4653-donegal-avenue/union/ky/blair,5985
kentucky,,https://www.fischerhomes.com/find-new-homes/ready-now/635475/274-meridian-way/fort-mitchell/ky/logan,6504
kentucky,,https://www.fischerhomes.com/find-new-homes/ready-now/632966/1368-independence-road/independence/ky/yosemite,6243
